,date,calls
0,2016-04-01,8154
1,2016-04-02,8526
2,2016-04-03,8088
3,2016-04-04,7044
4,2016-04-05,7236
5,2016-04-06,6492
6,2016-04-07,6204
7,2016-04-08,7614
8,2016-04-09,5706
9,2016-04-10,6606
10,2016-04-11,6822
11,2016-04-12,6060
12,2016-04-13,5964
13,2016-04-14,5928
14,2016-04-15,7608
15,2016-04-16,6768
16,2016-04-17,7242
17,2016-04-18,6768
18,2016-04-19,8676
19,2016-04-20,6270
20,2016-04-21,7818
21,2016-04-22,5712
22,2016-04-23,5166
23,2016-04-24,4884
24,2016-04-25,5880
25,2016-04-26,6576
26,2016-04-27,7620
27,2016-04-28,6870
28,2016-04-29,7554
29,2016-04-30,5424
30,2016-05-01,8400
31,2016-05-02,7782
32,2016-05-03,7716
33,2016-05-04,8340
34,2016-05-05,8064
35,2016-05-06,7404
36,2016-05-07,8868
37,2016-05-08,6504
38,2016-05-09,7788
39,2016-05-10,6978
40,2016-05-11,7512
41,2016-05-12,7434
42,2016-05-13,8370
43,2016-05-14,8136
44,2016-05-15,7674
45,2016-05-16,9048
46,2016-05-17,8550
47,2016-05-18,8184
48,2016-05-19,8352
49,2016-05-20,5790
50,2016-05-21,8382
51,2016-05-22,6516
52,2016-05-23,7824
53,2016-05-24,6312
54,2016-05-25,8196
55,2016-05-26,8124
56,2016-05-27,6084
57,2016-05-28,6174
58,2016-05-29,6984
59,2016-05-30,8670
60,2016-05-31,8004
61,2016-06-01,7656
62,2016-06-02,8298
63,2016-06-03,8922
64,2016-06-04,9426
65,2016-06-05,8514
66,2016-06-06,9426
67,2016-06-07,9414
68,2016-06-08,7260
69,2016-06-09,6762
70,2016-06-10,7230
71,2016-06-11,7710
72,2016-06-12,6462
73,2016-06-13,8790
74,2016-06-14,8160
75,2016-06-15,8538
76,2016-06-16,8094
77,2016-06-17,6918
78,2016-06-18,6894
79,2016-06-19,6840
80,2016-06-20,8562
81,2016-06-21,8754
82,2016-06-22,8058
83,2016-06-23,8316
84,2016-06-24,5916
85,2016-06-25,7272
86,2016-06-26,7794
87,2016-06-27,8964
88,2016-06-28,7788
89,2016-06-29,6600
90,2016-06-30,6708
91,2016-07-01,8742
92,2016-07-02,7116
93,2016-07-03,8376
94,2016-07-04,8526
95,2016-07-05,8550
96,2016-07-06,9702
97,2016-07-07,8442
98,2016-07-08,9024
99,2016-07-09,8532
100,2016-07-10,7374
101,2016-07-11,9492
102,2016-07-12,8130
103,2016-07-13,9012
104,2016-07-14,9228
105,2016-07-15,7626
106,2016-07-16,6234
107,2016-07-17,5592
108,2016-07-18,7452
109,2016-07-19,6744
110,2016-07-20,6870
111,2016-07-21,6924
112,2016-07-22,8844
113,2016-07-23,6450
114,2016-07-24,5892
115,2016-07-25,7368
116,2016-07-26,7488
117,2016-07-27,6684
118,2016-07-28,7062
119,2016-07-29,6978
120,2016-07-30,6480
121,2016-07-31,6210
122,2016-08-01,10536
123,2016-08-02,10392
124,2016-08-03,9516
125,2016-08-04,9840
126,2016-08-05,9258
127,2016-08-06,9006
128,2016-08-07,5904
129,2016-08-08,7428
130,2016-08-09,6840
131,2016-08-10,7506
132,2016-08-11,8526
133,2016-08-12,8256
134,2016-08-13,6762
135,2016-08-14,5778
136,2016-08-15,7404
137,2016-08-16,7134
138,2016-08-17,6540
139,2016-08-18,8670
140,2016-08-19,8028
141,2016-08-20,6318
142,2016-08-21,8214
143,2016-08-22,6654
144,2016-08-23,8082
145,2016-08-24,8430
146,2016-08-25,7140
147,2016-08-26,8082
148,2016-08-27,7626
149,2016-08-28,6990
150,2016-08-29,6840
151,2016-08-30,8592
152,2016-08-31,8886
153,2016-09-01,9318
154,2016-09-02,9366
155,2016-09-03,7380
156,2016-09-04,7536
157,2016-09-05,7548
158,2016-09-06,7560
159,2016-09-07,8568
160,2016-09-08,8748
161,2016-09-09,6582
162,2016-09-10,7374
163,2016-09-11,8202
164,2016-09-12,6564
165,2016-09-13,7230
166,2016-09-14,8514
167,2016-09-15,8280
168,2016-09-16,7824
169,2016-09-17,6660
170,2016-09-18,6126
171,2016-09-19,7926
172,2016-09-20,7362
173,2016-09-21,8532
174,2016-09-22,8286
175,2016-09-23,5808
176,2016-09-24,7842
177,2016-09-25,5328
178,2016-09-26,8550
179,2016-09-27,7638
180,2016-09-28,6924
181,2016-09-29,8172
182,2016-09-30,8520
183,2016-10-01,6492
184,2016-10-02,7872
185,2016-10-03,8004
186,2016-10-04,7398
187,2016-10-05,8136
188,2016-10-06,7020
189,2016-10-07,6072
190,2016-10-08,7176
191,2016-10-09,7842
192,2016-10-10,7818
193,2016-10-11,7908
194,2016-10-12,6396
195,2016-10-13,6930
196,2016-10-14,7728
197,2016-10-15,6954
198,2016-10-16,7614
199,2016-10-17,6666
200,2016-10-18,7200
201,2016-10-19,8094
202,2016-10-20,7440
203,2016-10-21,6234
204,2016-10-22,6660
205,2016-10-23,5004
206,2016-10-24,8544
207,2016-10-25,6204
208,2016-10-26,6108
209,2016-10-27,6366
210,2016-10-28,5430
211,2016-10-29,7980
212,2016-10-30,5730
213,2016-10-31,5874
214,2016-11-01,9600
215,2016-11-02,6576
216,2016-11-03,8352
217,2016-11-04,6984
218,2016-11-05,5562
219,2016-11-06,6366
220,2016-11-07,7098
221,2016-11-08,6552
222,2016-11-09,6966
223,2016-11-10,5730
224,2016-11-11,7110
225,2016-11-12,7140
226,2016-11-13,6072
227,2016-11-14,7710
228,2016-11-15,8190
229,2016-11-16,5598
230,2016-11-17,6684
231,2016-11-18,6276
232,2016-11-19,5820
233,2016-11-20,5160
234,2016-11-21,7998
235,2016-11-22,6852
236,2016-11-23,8256
237,2016-11-24,7494
238,2016-11-25,7722
239,2016-11-26,6438
240,2016-11-27,5526
241,2016-11-28,6558
242,2016-11-29,6624
243,2016-11-30,6384
244,2016-12-01,6450
245,2016-12-02,8436
246,2016-12-03,5748
247,2016-12-04,5532
248,2016-12-05,7674
249,2016-12-06,7422
250,2016-12-07,7086
251,2016-12-08,6174
252,2016-12-09,6120
253,2016-12-10,6942
254,2016-12-11,7098
255,2016-12-12,7506
256,2016-12-13,7116
257,2016-12-14,5934
258,2016-12-15,5118
259,2016-12-16,5802
260,2016-12-17,6642
261,2016-12-18,4692
262,2016-12-19,6798
263,2016-12-20,6480
264,2016-12-21,5244
265,2016-12-22,6000
266,2016-12-23,5496
267,2016-12-24,5172
268,2016-12-25,6030
269,2016-12-26,6714
270,2016-12-27,6828
271,2016-12-28,6096
272,2016-12-29,7326
273,2016-12-30,5478
274,2016-12-31,5754
275,2017-01-01,6336
276,2017-01-02,8550
277,2017-01-03,8238
278,2017-01-04,7902
279,2017-01-05,8268
280,2017-01-06,6054
281,2017-01-07,7152
282,2017-01-08,6318
283,2017-01-09,5418
284,2017-01-10,5376
285,2017-01-11,5976
286,2017-01-12,6414
287,2017-01-13,5496
288,2017-01-14,4668
289,2017-01-15,4074
290,2017-01-16,6300
291,2017-01-17,6948
292,2017-01-18,4920
293,2017-01-19,4938
294,2017-01-20,6870
295,2017-01-21,5592
296,2017-01-22,6618
297,2017-01-23,7248
298,2017-01-24,5400
299,2017-01-25,4860
300,2017-01-26,5196
301,2017-01-27,6330
302,2017-01-28,5442
303,2017-01-29,5742
304,2017-01-30,7212
305,2017-01-31,5904
306,2017-02-01,6786
307,2017-02-02,8844
308,2017-02-03,7494
309,2017-02-04,6666
310,2017-02-05,5898
311,2017-02-06,8844
312,2017-02-07,6798
313,2017-02-08,8664
314,2017-02-09,6204
315,2017-02-10,7032
316,2017-02-11,7638
317,2017-02-12,7398
318,2017-02-13,5724
319,2017-02-14,6816
320,2017-02-15,5868
321,2017-02-16,7812
322,2017-02-17,7272
323,2017-02-18,7464
324,2017-02-19,5268
325,2017-02-20,5814
326,2017-02-21,5820
327,2017-02-22,7056
328,2017-02-23,8088
329,2017-02-24,6696
330,2017-02-25,5388
331,2017-02-26,5994
332,2017-02-27,6822
333,2017-02-28,7338
334,2017-03-01,10074
335,2017-03-02,9246
336,2017-03-03,8616
337,2017-03-04,6636
338,2017-03-05,6288
339,2017-03-06,8670
340,2017-03-07,6948
341,2017-03-08,8700
342,2017-03-09,9030
343,2017-03-10,8166
344,2017-03-11,7548
345,2017-03-12,6564
346,2017-03-13,6174
347,2017-03-14,7188
348,2017-03-15,7686
349,2017-03-16,6942
350,2017-03-17,5724
351,2017-03-18,7620
352,2017-03-19,6066
353,2017-03-20,6486
354,2017-03-21,8352
355,2017-03-22,8412
356,2017-03-23,7170
357,2017-03-24,6918
358,2017-03-25,6636
359,2017-03-26,6756
360,2017-03-27,8856
361,2017-03-28,8688
362,2017-03-29,8112
363,2017-03-30,7728
364,2017-03-31,8394
365,2017-04-01,9774
366,2017-04-02,6630
367,2017-04-03,10170
368,2017-04-04,9324
369,2017-04-05,7770
370,2017-04-06,7284
371,2017-04-07,8970
372,2017-04-08,8844
373,2017-04-09,6084
374,2017-04-10,9300
375,2017-04-11,7962
376,2017-04-12,8466
377,2017-04-13,6360
378,2017-04-14,8220
379,2017-04-15,6876
380,2017-04-16,7086
381,2017-04-17,9048
382,2017-04-18,7932
383,2017-04-19,8574
384,2017-04-20,8016
385,2017-04-21,8400
386,2017-04-22,8478
387,2017-04-23,7194
388,2017-04-24,8184
389,2017-04-25,8352
390,2017-04-26,8874
391,2017-04-27,7368
392,2017-04-28,7230
393,2017-04-29,6468
394,2017-04-30,6984
395,2017-05-01,10218
396,2017-05-02,8376
397,2017-05-03,10050
398,2017-05-04,9582
399,2017-05-05,7140
400,2017-05-06,9270
401,2017-05-07,6966
402,2017-05-08,8616
403,2017-05-09,9444
404,2017-05-10,9066
405,2017-05-11,8862
406,2017-05-12,9420
407,2017-05-13,7914
408,2017-05-14,8592
409,2017-05-15,8256
410,2017-05-16,8178
411,2017-05-17,6876
412,2017-05-18,7242
413,2017-05-19,7746
414,2017-05-20,6534
415,2017-05-21,6066
416,2017-05-22,8766
417,2017-05-23,9606
418,2017-05-24,8142
419,2017-05-25,6750
420,2017-05-26,7062
421,2017-05-27,7290
422,2017-05-28,8538
423,2017-05-29,8112
424,2017-05-30,7098
425,2017-05-31,9294
426,2017-06-01,10830
427,2017-06-02,9840
428,2017-06-03,7296
429,2017-06-04,8136
430,2017-06-05,9876
431,2017-06-06,8268
432,2017-06-07,9630
433,2017-06-08,9186
434,2017-06-09,6924
435,2017-06-10,9312
436,2017-06-11,7812
437,2017-06-12,9174
438,2017-06-13,9852
439,2017-06-14,8376
440,2017-06-15,7452
441,2017-06-16,7728
442,2017-06-17,7596
443,2017-06-18,6540
444,2017-06-19,8370
445,2017-06-20,8490
446,2017-06-21,8892
447,2017-06-22,8598
448,2017-06-23,6942
449,2017-06-24,7662
450,2017-06-25,6054
451,2017-06-26,7620
452,2017-06-27,7764
453,2017-06-28,8040
454,2017-06-29,8160
455,2017-06-30,9060
456,2017-07-01,8352
457,2017-07-02,7860
458,2017-07-03,8802
459,2017-07-04,9228
460,2017-07-05,10398
461,2017-07-06,7578
462,2017-07-07,7314
463,2017-07-08,7398
464,2017-07-09,7878
465,2017-07-10,7200
466,2017-07-11,7872
467,2017-07-12,7524
468,2017-07-13,6960
469,2017-07-14,9354
470,2017-07-15,8808
471,2017-07-16,8982
472,2017-07-17,9336
473,2017-07-18,9624
474,2017-07-19,9534
475,2017-07-20,7152
476,2017-07-21,8052
477,2017-07-22,8190
478,2017-07-23,7686
479,2017-07-24,7530
480,2017-07-25,8400
481,2017-07-26,7956
482,2017-07-27,8400
483,2017-07-28,7104
484,2017-07-29,8724
485,2017-07-30,6324
486,2017-07-31,7818
487,2017-08-01,10476
488,2017-08-02,10068
489,2017-08-03,9372
490,2017-08-04,7506
491,2017-08-05,9672
492,2017-08-06,6654
493,2017-08-07,9174
494,2017-08-08,9186
495,2017-08-09,8712
496,2017-08-10,8016
497,2017-08-11,9426
498,2017-08-12,7548
499,2017-08-13,6408
500,2017-08-14,9360
501,2017-08-15,8844
502,2017-08-16,9114
503,2017-08-17,9006
504,2017-08-18,8796
505,2017-08-19,8748
506,2017-08-20,8406
507,2017-08-21,8316
508,2017-08-22,8556
509,2017-08-23,7602
510,2017-08-24,9156
511,2017-08-25,7092
512,2017-08-26,8880
513,2017-08-27,7386
514,2017-08-28,7566
515,2017-08-29,9546
516,2017-08-30,6924
517,2017-08-31,7710
518,2017-09-01,9210
519,2017-09-02,8922
520,2017-09-03,9228
521,2017-09-04,8178
522,2017-09-05,8280
523,2017-09-06,8010
524,2017-09-07,7338
525,2017-09-08,6978
526,2017-09-09,7584
527,2017-09-10,8586
528,2017-09-11,8070
529,2017-09-12,8076
530,2017-09-13,9654
531,2017-09-14,6666
532,2017-09-15,8604
533,2017-09-16,8964
534,2017-09-17,6168
535,2017-09-18,8946
536,2017-09-19,7224
537,2017-09-20,8064
538,2017-09-21,8514
539,2017-09-22,7794
540,2017-09-23,8922
541,2017-09-24,6768
542,2017-09-25,7116
543,2017-09-26,8670
544,2017-09-27,7836
545,2017-09-28,6690
546,2017-09-29,8808
547,2017-09-30,8304
548,2017-10-01,9414
549,2017-10-02,8484
550,2017-10-03,8664
551,2017-10-04,8820
552,2017-10-05,9852
553,2017-10-06,8232
554,2017-10-07,6426
555,2017-10-08,7014
556,2017-10-09,9564
557,2017-10-10,8670
558,2017-10-11,7854
559,2017-10-12,7050
560,2017-10-13,6468
561,2017-10-14,6972
562,2017-10-15,7908
563,2017-10-16,9054
564,2017-10-17,7728
565,2017-10-18,7518
566,2017-10-19,8472
567,2017-10-20,7434
568,2017-10-21,6966
569,2017-10-22,7062
570,2017-10-23,7596
571,2017-10-24,8346
572,2017-10-25,7608
573,2017-10-26,7854
574,2017-10-27,8502
575,2017-10-28,6462
576,2017-10-29,7764
577,2017-10-30,9258
578,2017-10-31,7200
579,2017-11-01,9930
580,2017-11-02,8766
581,2017-11-03,9468
582,2017-11-04,7650
583,2017-11-05,7086
584,2017-11-06,7494
585,2017-11-07,7638
586,2017-11-08,7128
587,2017-11-09,6360
588,2017-11-10,6930
589,2017-11-11,7170
590,2017-11-12,6360
591,2017-11-13,8610
592,2017-11-14,8322
593,2017-11-15,7206
594,2017-11-16,7182
595,2017-11-17,6870
596,2017-11-18,6294
597,2017-11-19,5724
598,2017-11-20,6126
599,2017-11-21,7740
600,2017-11-22,7674
601,2017-11-23,6048
602,2017-11-24,6402
603,2017-11-25,6444
604,2017-11-26,5532
605,2017-11-27,6042
606,2017-11-28,7632
607,2017-11-29,6150
608,2017-11-30,7620
609,2017-12-01,8082
610,2017-12-02,6030
611,2017-12-03,6312
612,2017-12-04,7158
613,2017-12-05,8406
614,2017-12-06,7644
615,2017-12-07,6954
616,2017-12-08,6714
617,2017-12-09,7338
618,2017-12-10,6390
619,2017-12-11,6162
620,2017-12-12,7602
621,2017-12-13,6450
622,2017-12-14,6480
623,2017-12-15,5556
624,2017-12-16,7620
625,2017-12-17,5364
626,2017-12-18,6096
627,2017-12-19,5988
628,2017-12-20,6714
629,2017-12-21,7800
630,2017-12-22,7062
631,2017-12-23,7152
632,2017-12-24,4854
633,2017-12-25,7692
634,2017-12-26,5814
635,2017-12-27,6558
636,2017-12-28,6978
637,2017-12-29,7494
638,2017-12-30,6432
639,2017-12-31,4908
640,2018-01-01,9006
641,2018-01-02,7224
642,2018-01-03,6480
643,2018-01-04,6756
644,2018-01-05,8436
645,2018-01-06,7506
646,2018-01-07,7476
647,2018-01-08,8412
648,2018-01-09,8202
649,2018-01-10,8460
650,2018-01-11,6834
651,2018-01-12,7374
652,2018-01-13,6642
653,2018-01-14,6756
654,2018-01-15,6804
655,2018-01-16,8040
656,2018-01-17,5742
657,2018-01-18,8034
658,2018-01-19,8088
659,2018-01-20,5808
660,2018-01-21,6864
661,2018-01-22,5514
662,2018-01-23,5838
663,2018-01-24,6486
664,2018-01-25,5334
665,2018-01-26,6618
666,2018-01-27,6864
667,2018-01-28,6390
668,2018-01-29,7416
669,2018-01-30,5484
670,2018-01-31,6438
671,2018-02-01,8400
672,2018-02-02,7938
673,2018-02-03,8616
674,2018-02-04,7686
675,2018-02-05,7548
676,2018-02-06,7416
677,2018-02-07,6960
678,2018-02-08,7962
679,2018-02-09,8310
680,2018-02-10,8010
681,2018-02-11,6606
682,2018-02-12,6576
683,2018-02-13,7410
684,2018-02-14,7038
685,2018-02-15,7176
686,2018-02-16,5868
687,2018-02-17,7788
688,2018-02-18,7284
689,2018-02-19,8076
690,2018-02-20,6678
691,2018-02-21,8784
692,2018-02-22,5958
693,2018-02-23,8634
694,2018-02-24,5868
695,2018-02-25,5634
696,2018-02-26,6066
697,2018-02-27,8544
698,2018-02-28,8880
699,2018-03-01,10152
700,2018-03-02,8802
701,2018-03-03,7980
702,2018-03-04,7752
703,2018-03-05,9588
704,2018-03-06,8406
705,2018-03-07,9462
706,2018-03-08,7368
707,2018-03-09,7782
708,2018-03-10,8196
709,2018-03-11,7704
710,2018-03-12,9072
711,2018-03-13,9480
712,2018-03-14,7134
713,2018-03-15,9306
714,2018-03-16,7602
715,2018-03-17,7932
716,2018-03-18,7920
717,2018-03-19,8646
718,2018-03-20,6708
719,2018-03-21,8166
720,2018-03-22,7116
721,2018-03-23,7290
722,2018-03-24,6612
723,2018-03-25,7248
724,2018-03-26,7680
725,2018-03-27,7470
726,2018-03-28,6876
727,2018-03-29,8190
728,2018-03-30,8526
729,2018-03-31,8010
730,2018-04-01,9522
731,2018-04-02,9642
732,2018-04-03,9048
733,2018-04-04,10566
734,2018-04-05,7932
