n_sick,calls,n_duty,n_sby,diff_drivers,year,month,day_of_week,week
73,8154.0,1700,90,1627,2016,4,4,13
64,8526.0,1700,90,1636,2016,4,5,13
68,8088.0,1700,90,1632,2016,4,6,13
71,7044.0,1700,90,1629,2016,4,0,14
63,7236.0,1700,90,1637,2016,4,1,14
70,6492.0,1700,90,1630,2016,4,2,14
64,6204.0,1700,90,1636,2016,4,3,14
62,7614.0,1700,90,1638,2016,4,4,14
51,5706.0,1700,90,1649,2016,4,5,14
54,6606.0,1700,90,1646,2016,4,6,14
50,6822.0,1700,90,1650,2016,4,0,15
49,6060.0,1700,90,1651,2016,4,1,15
53,5964.0,1700,90,1647,2016,4,2,15
52,5928.0,1700,90,1648,2016,4,3,15
63,7608.0,1700,90,1637,2016,4,4,15
55,6768.0,1700,90,1645,2016,4,5,15
51,7242.0,1700,90,1649,2016,4,6,15
59,6768.0,1700,90,1641,2016,4,0,16
57,8676.0,1700,90,1643,2016,4,1,16
53,6270.0,1700,90,1647,2016,4,2,16
63,7818.0,1700,90,1637,2016,4,3,16
68,5712.0,1700,90,1632,2016,4,4,16
62,5166.0,1700,90,1638,2016,4,5,16
71,4884.0,1700,90,1629,2016,4,6,16
72,5880.0,1700,90,1628,2016,4,0,17
65,6576.0,1700,90,1635,2016,4,1,17
62,7620.0,1700,90,1638,2016,4,2,17
66,6870.0,1700,90,1634,2016,4,3,17
64,7554.0,1700,90,1636,2016,4,4,17
65,5424.0,1700,90,1635,2016,4,5,17
54,8400.0,1700,90,1646,2016,5,6,17
63,7782.0,1700,90,1637,2016,5,0,18
61,7716.0,1700,90,1639,2016,5,1,18
58,8340.0,1700,90,1642,2016,5,2,18
57,8064.0,1700,90,1643,2016,5,3,18
59,7404.0,1700,90,1641,2016,5,4,18
57,8868.0,1700,90,1643,2016,5,5,18
61,6504.0,1700,90,1639,2016,5,6,18
65,7788.0,1700,90,1635,2016,5,0,19
68,6978.0,1700,90,1632,2016,5,1,19
61,7512.0,1700,90,1639,2016,5,2,19
55,7434.0,1700,90,1645,2016,5,3,19
56,8370.0,1700,90,1644,2016,5,4,19
50,8136.0,1700,90,1650,2016,5,5,19
57,7674.0,1700,90,1643,2016,5,6,19
52,9048.0,1700,90,1648,2016,5,0,20
53,8550.0,1700,90,1647,2016,5,1,20
52,8184.0,1700,90,1648,2016,5,2,20
51,8352.0,1700,90,1649,2016,5,3,20
57,5790.0,1700,90,1643,2016,5,4,20
56,8382.0,1700,90,1644,2016,5,5,20
58,6516.0,1700,90,1642,2016,5,6,20
57,7824.0,1700,90,1643,2016,5,0,21
55,6312.0,1700,90,1645,2016,5,1,21
49,8196.0,1700,90,1651,2016,5,2,21
46,8124.0,1700,90,1654,2016,5,3,21
50,6084.0,1700,90,1650,2016,5,4,21
50,6174.0,1700,90,1650,2016,5,5,21
52,6984.0,1700,90,1648,2016,5,6,21
59,8670.0,1700,90,1641,2016,5,0,22
59,8004.0,1700,90,1641,2016,5,1,22
64,7656.0,1700,90,1636,2016,6,2,22
63,8298.0,1700,90,1637,2016,6,3,22
69,8922.0,1700,90,1631,2016,6,4,22
67,9426.0,1700,90,1633,2016,6,5,22
61,8514.0,1700,90,1639,2016,6,6,22
62,9426.0,1700,90,1638,2016,6,0,23
53,9414.0,1700,90,1647,2016,6,1,23
50,7260.0,1700,90,1650,2016,6,2,23
48,6762.0,1700,90,1652,2016,6,3,23
53,7230.0,1700,90,1647,2016,6,4,23
51,7710.0,1700,90,1649,2016,6,5,23
59,6462.0,1700,90,1641,2016,6,6,23
66,8790.0,1700,90,1634,2016,6,0,24
58,8160.0,1700,90,1642,2016,6,1,24
53,8538.0,1700,90,1647,2016,6,2,24
55,8094.0,1700,90,1645,2016,6,3,24
54,6918.0,1700,90,1646,2016,6,4,24
54,6894.0,1700,90,1646,2016,6,5,24
56,6840.0,1700,90,1644,2016,6,6,24
57,8562.0,1700,90,1643,2016,6,0,25
60,8754.0,1700,90,1640,2016,6,1,25
61,8058.0,1700,90,1639,2016,6,2,25
60,8316.0,1700,90,1640,2016,6,3,25
53,5916.0,1700,90,1647,2016,6,4,25
45,7272.0,1700,90,1655,2016,6,5,25
48,7794.0,1700,90,1652,2016,6,6,25
50,8964.0,1700,90,1650,2016,6,0,26
44,7788.0,1700,90,1656,2016,6,1,26
44,6600.0,1700,90,1656,2016,6,2,26
48,6708.0,1700,90,1652,2016,6,3,26
41,8742.0,1700,90,1659,2016,7,4,26
40,7116.0,1700,90,1660,2016,7,5,26
46,8376.0,1700,90,1654,2016,7,6,26
50,8526.0,1700,90,1650,2016,7,0,27
