date,calls
2016-04-01,8154
2016-04-02,8526
2016-04-03,8088
2016-04-04,7044
2016-04-05,7236
2016-04-06,6492
2016-04-07,6204
2016-04-08,7614
2016-04-09,5706
2016-04-10,6606
2016-04-11,6822
2016-04-12,6060
2016-04-13,5964
2016-04-14,5928
2016-04-15,7608
2016-04-16,6768
2016-04-17,7242
2016-04-18,6768
2016-04-19,8676
2016-04-20,6270
2016-04-21,7818
2016-04-22,5712
2016-04-23,5166
2016-04-24,4884
2016-04-25,5880
2016-04-26,6576
2016-04-27,7620
2016-04-28,6870
2016-04-29,7554
2016-04-30,5424
2016-05-01,8400
2016-05-02,7782
2016-05-03,7716
2016-05-04,8340
2016-05-05,8064
2016-05-06,7404
2016-05-07,8868
2016-05-08,6504
2016-05-09,7788
2016-05-10,6978
2016-05-11,7512
2016-05-12,7434
2016-05-13,8370
2016-05-14,8136
2016-05-15,7674
2016-05-16,9048
2016-05-17,8550
2016-05-18,8184
2016-05-19,8352
2016-05-20,5790
2016-05-21,8382
2016-05-22,6516
2016-05-23,7824
2016-05-24,6312
2016-05-25,8196
2016-05-26,8124
2016-05-27,6084
2016-05-28,6174
2016-05-29,6984
2016-05-30,8670
2016-05-31,8004
2016-06-01,7656
2016-06-02,8298
2016-06-03,8922
2016-06-04,9426
2016-06-05,8514
2016-06-06,9426
2016-06-07,9414
2016-06-08,7260
2016-06-09,6762
2016-06-10,7230
2016-06-11,7710
2016-06-12,6462
2016-06-13,8790
2016-06-14,8160
2016-06-15,8538
2016-06-16,8094
2016-06-17,6918
2016-06-18,6894
2016-06-19,6840
2016-06-20,8562
2016-06-21,8754
2016-06-22,8058
2016-06-23,8316
2016-06-24,5916
2016-06-25,7272
2016-06-26,7794
2016-06-27,8964
2016-06-28,7788
2016-06-29,6600
2016-06-30,6708
2016-07-01,8742
2016-07-02,7116
2016-07-03,8376
2016-07-04,8526
2016-07-05,8550
2016-07-06,9702
2016-07-07,8442
2016-07-08,9024
2016-07-09,8532
2016-07-10,7374
2016-07-11,9492
2016-07-12,8130
2016-07-13,9012
2016-07-14,9228
2016-07-15,7626
2016-07-16,6234
2016-07-17,5592
2016-07-18,7452
2016-07-19,6744
2016-07-20,6870
2016-07-21,6924
2016-07-22,8844
2016-07-23,6450
2016-07-24,5892
2016-07-25,7368
